"x","y"
1.2,2.5
1.8,3.1
2.3,4.2
2.9,5.8
3.5,7.1
4.1,8.3
4.7,9.2
5.3,10.8
5.9,12.1
6.5,13.3
7.1,14.2
7.7,15.8
8.3,17.1
8.9,18.3
9.5,19.2
10.1,20.8
10.7,22.1
11.3,23.3
11.9,24.2
12.5,25.8
13.1,27.1
13.7,28.3
14.3,29.2
14.9,30.8
15.5,32.1
16.1,33.3
16.7,34.2
17.3,35.8
17.9,37.1
18.5,38.3
19.1,39.2
19.7,40.8
20.3,42.1
20.9,43.3
21.5,44.2
22.1,45.8
22.7,47.1
23.3,48.3
23.9,49.2
24.5,50.8
25.1,52.1
25.7,53.3
26.3,54.2
26.9,55.8
27.5,57.1
28.1,58.3
28.7,59.2
29.3,60.8
29.9,62.1
30.5,63.3
31.1,64.2
31.7,65.8
32.3,67.1
32.9,68.3
33.5,69.2
34.1,70.8
34.7,72.1
35.3,73.3
35.9,74.2
36.5,75.8
37.1,77.1
37.7,78.3
38.3,79.2
38.9,80.8
39.5,82.1
40.1,83.3
40.7,84.2
41.3,85.8
41.9,87.1
42.5,88.3
43.1,89.2
43.7,90.8
44.3,92.1
44.9,93.3
45.5,94.2
46.1,95.8
46.7,97.1
47.3,98.3
47.9,99.2
48.5,100.8
49.1,102.1
49.7,103.3
50.3,104.2
50.9,105.8
51.5,107.1
52.1,108.3
52.7,109.2
53.3,110.8
53.9,112.1
54.5,113.3
55.1,114.2
55.7,115.8
56.3,117.1
56.9,118.3
57.5,119.2
58.1,120.8
58.7,122.1
59.3,123.3
59.9,124.2
60.5,125.8
61.1,127.1
61.7,128.3
62.3,129.2
62.9,130.8
63.5,132.1
64.1,133.3
64.7,134.2
65.3,135.8
65.9,137.1
66.5,138.3
67.1,139.2
67.7,140.8
68.3,142.1
68.9,143.3
69.5,144.2
70.1,145.8
70.7,147.1
71.3,148.3
71.9,149.2
72.5,150.8
73.1,152.1
73.7,153.3
74.3,154.2
74.9,155.8
75.5,157.1
76.1,158.3
76.7,159.2
77.3,160.8
77.9,162.1
78.5,163.3
79.1,164.2
79.7,165.8
80.3,167.1
80.9,168.3
81.5,169.2
82.1,170.8
82.7,172.1
83.3,173.3
83.9,174.2
84.5,175.8
85.1,177.1
85.7,178.3
86.3,179.2
86.9,180.8
87.5,182.1
88.1,183.3
88.7,184.2
89.3,185.8
89.9,187.1
90.5,188.3
91.1,189.2
91.7,190.8
92.3,192.1
92.9,193.3
93.5,194.2
94.1,195.8
94.7,197.1
95.3,198.3
95.9,199.2
96.5,200.8
97.1,202.1
97.7,203.3
98.3,204.2
98.9,205.8
99.5,207.1
100.1,208.3
100.7,209.2
101.3,210.8
101.9,212.1
102.5,213.3
103.1,214.2
103.7,215.8
104.3,217.1
104.9,218.3
105.5,219.2
106.1,220.8
106.7,222.1
107.3,223.3
107.9,224.2
108.5,225.8
109.1,227.1
109.7,228.3
110.3,229.2
110.9,230.8
111.5,232.1
112.1,233.3
112.7,234.2
113.3,235.8
113.9,237.1
114.5,238.3
115.1,239.2
115.7,240.8
116.3,242.1
116.9,243.3
117.5,244.2
118.1,245.8
118.7,247.1
119.3,248.3
119.9,249.2
120.5,250.8
