metric,value
pca_sample_count,24
pca_group_count,2
pca_pc1_variance,6.9638
pca_pc2_variance,6.7413
pca_genes_used,500
pca_ellipse_enabled,1
pca_ellipse_type,2
pca_ellipse_level,0.95
pca_ellipse_vehicle_center_x,0.3217
pca_ellipse_vehicle_center_y,1.2154
pca_ellipse_vehicle_radius_x,7.5181
pca_ellipse_vehicle_radius_y,3.7898
pca_ellipse_vehicle_angle,1.5105
pca_ellipse_vehicle_n,12
pca_ellipse_thc_center_x,-0.3217
pca_ellipse_thc_center_y,-1.2154
pca_ellipse_thc_radius_x,23.7604
pca_ellipse_thc_radius_y,21.8693
pca_ellipse_thc_angle,3.0326
pca_ellipse_thc_n,12
pca_ellipse_group_count,2
