metric,value
pca_sample_count,24
pca_group_count,2
pca_pc1_variance,7.0625
pca_pc2_variance,6.4401
pca_genes_used,500
pca_ellipse_enabled,1
pca_ellipse_type,2
pca_ellipse_level,0.95
pca_ellipse_thc_center_x,-1.2287
pca_ellipse_thc_center_y,0.6051
pca_ellipse_thc_radius_x,23.6247
pca_ellipse_thc_radius_y,22.4236
pca_ellipse_thc_angle,0.3934
pca_ellipse_thc_n,12
pca_ellipse_vehicle_center_x,1.2287
pca_ellipse_vehicle_center_y,-0.6051
pca_ellipse_vehicle_radius_x,6.8495
pca_ellipse_vehicle_radius_y,5.7213
pca_ellipse_vehicle_angle,2.1815
pca_ellipse_vehicle_n,12
pca_ellipse_group_count,2
