metric,value
pca_sample_count,24
pca_group_count,2
pca_pc1_variance,6.9638
pca_pc2_variance,6.7413
pca_genes_used,500
pca_ellipse_enabled,1
pca_ellipse_type,1
pca_ellipse_level,0.95
pca_ellipse_vehicle_center_x,0.1205
pca_ellipse_vehicle_center_y,1.4371
pca_ellipse_vehicle_radius_x,5.8691
pca_ellipse_vehicle_radius_y,2.7391
pca_ellipse_vehicle_angle,1.5017
pca_ellipse_vehicle_n,12
pca_ellipse_thc_center_x,-1.1381
pca_ellipse_thc_center_y,-0.5435
pca_ellipse_thc_radius_x,19.1885
pca_ellipse_thc_radius_y,16.353
pca_ellipse_thc_angle,1.4064
pca_ellipse_thc_n,12
pca_ellipse_group_count,2
