metric,value
pca_sample_count,24
pca_group_count,2
pca_pc1_variance,7.0625
pca_pc2_variance,6.4401
pca_genes_used,500
pca_ellipse_enabled,1
pca_ellipse_type,1
pca_ellipse_level,0.95
pca_ellipse_thc_center_x,-0.2226
pca_ellipse_thc_center_y,1.4116
pca_ellipse_thc_radius_x,20.4702
pca_ellipse_thc_radius_y,19.424
pca_ellipse_thc_angle,0.5067
pca_ellipse_thc_n,12
pca_ellipse_vehicle_center_x,1.2229
pca_ellipse_vehicle_center_y,-0.3756
pca_ellipse_vehicle_radius_x,5.8014
pca_ellipse_vehicle_radius_y,4.9234
pca_ellipse_vehicle_angle,2.0752
pca_ellipse_vehicle_n,12
pca_ellipse_group_count,2
