"Name","Version","License"
"Brotli","1.1.0","MIT"
"ConfigArgParse","1.7","MIT"
"Cython","3.0.11","Apache-2.0"
"Flask","3.0.3","LicenseRef-BSD"
"Jinja2","3.1.4","LicenseRef-BSD"
"MarkupSafe","2.1.5","LicenseRef-BSD"
"OpenEXR","3.2.4","NOASSERTION"
"PyJWT","2.10.1","MIT"
"PyYAML","6.0.1","MIT"
"Pygments","2.19.1","LicenseRef-BSD"
"Werkzeug","3.0.6","LicenseRef-BSD"
"aiofiles","24.1.0","Apache-2.0"
"annotated-types","0.6.0","MIT"
"anthropic","0.72.0","MIT"
"antlr4-python3-runtime","4.9.3","LicenseRef-BSD"
"anyio","4.12.1","MIT"
"arcrest","10.3","Apache-2.0"
"arduino-python3","0.6","MIT"
"arduino_iot_cloud","1.0.0","MPL-2.0"
"asttokens","3.0.0","Apache-2.0"
"attrs","24.3.0","MIT"
"beautifulsoup4","4.14.3","MIT"
"biopython","1.85","LicenseRef-Freely-Distributable"
"blinker","1.9.0","MIT"
"branca","0.7.2","MIT"
"browserforge","1.2.3","Apache-2.0"
"cachetools","6.2.1","MIT"
"cbor2","5.6.0","MIT"
"certifi","2026.1.4","MPL-2.0"
"cffi","2.0.0","MIT"
"charset-normalizer","3.3.2","MIT"
"click","8.3.1","BSD-3-Clause"
"colorama","0.4.6","LicenseRef-BSD"
"comm","0.2.2","LicenseRef-BSD"
"commentjson","0.9.0","NOASSERTION"
"contourpy","1.3.3","LicenseRef-BSD"
"cryptography","46.0.3","Apache-2.0 OR BSD-3-Clause"
"cssselect","1.3.0","LicenseRef-BSD"
"curl_cffi","0.14.0","MIT"
"cycler","0.12.1","LicenseRef-BSD"
"dash","2.18.2","MIT"
"dash-core-components","2.0.0","MIT"
"dash-html-components","2.0.0","MIT"
"dash-table","5.0.0","MIT"
"decorator","5.1.1","LicenseRef-BSD"
"distlib","0.3.8","PSF-2.0"
"distro","1.9.0","Apache-2.0"
"docstring_parser","0.17.0","MIT"
"einops","0.8.1","MIT"
"et_xmlfile","2.0.0","MIT"
"executing","2.1.0","MIT"
"fastapi","0.116.1","MIT"
"fastjsonschema","2.21.1","LicenseRef-BSD"
"ffmpeg","1.4","MIT"
"ffmpeg-downloader","0.3.0","GPL-2.0-only"
"ffmpy","0.6.1","MIT"
"ffprobe","0.5","MIT"
"filelock","3.13.1","Unlicense"
"folium","0.17.0","MIT"
"fonttools","4.59.1","MIT"
"fsspec","2025.7.0","LicenseRef-BSD"
"future","0.18.3","MIT"
"google-ai-generativelanguage","0.6.15","Apache-2.0"
"google-api-core","2.28.1","Apache-2.0"
"google-api-python-client","2.185.0","Apache-2.0"
"google-auth","2.42.0","Apache-2.0"
"google-auth-httplib2","0.2.0","Apache-2.0"
"google-generativeai","0.8.5","Apache-2.0"
"googleapis-common-protos","1.71.0","Apache-2.0"
"gradio","5.42.0","Apache-2.0"
"gradio_client","1.11.1","Apache-2.0"
"greenlet","3.3.0","MIT AND Python-2.0"
"groovy","0.1.2","MIT"
"grpcio","1.76.0","Apache-2.0"
"grpcio-status","1.71.2","Apache-2.0"
"h11","0.16.0","MIT"
"httpcore","1.0.9","BSD-3-Clause"
"httplib2","0.31.0","MIT"
"httpx","0.28.1","LicenseRef-BSD"
"httpx-sse","0.4.3","MIT"
"huggingface-hub","0.34.4","Apache-2.0"
"hydra-core","1.3.2","MIT"
"idna","3.6","LicenseRef-BSD"
"imageio","2.34.1","LicenseRef-BSD"
"imageio-ffmpeg","0.6.0","LicenseRef-BSD"
"importlib_metadata","8.5.0","Apache-2.0"
"inflate64","1.0.0","LGPL-2.0-or-later"
"iniconfig","2.3.0","MIT"
"ipython","9.9.0","BSD-3-Clause"
"ipython_pygments_lexers","1.1.1","LicenseRef-BSD"
"ipywidgets","8.1.5","LicenseRef-BSD"
"iso8601","2.1.0","MIT"
"itsdangerous","2.2.0","LicenseRef-BSD"
"jedi","0.19.2","MIT"
"jiter","0.11.1","MIT"
"joblib","1.5.1","LicenseRef-BSD"
"jsonpatch","1.33","LicenseRef-BSD"
"jsonpointer","3.0.0","LicenseRef-BSD"
"jsonschema","4.23.0","MIT"
"jsonschema-specifications","2024.10.1","MIT"
"jupyter_core","5.7.2","LicenseRef-BSD"
"jupyterlab_widgets","3.0.13","LicenseRef-BSD"
"keyboard","0.13.5","MIT"
"kiwisolver","1.4.9","LicenseRef-BSD"
"kornia_rs","0.1.9","Apache-2.0"
"lark-parser","0.7.8","MIT"
"lxml","6.0.2","BSD-3-Clause"
"markdown-it-py","4.0.0","MIT"
"markdownify","1.2.2","MIT"
"matplotlib","3.10.7","PSF-2.0"
"matplotlib-inline","0.1.7","LicenseRef-BSD"
"mcp","1.25.0","MIT"
"mdurl","0.1.2","MIT"
"micropython-senml","0.1.0","NOASSERTION"
"mpmath","1.3.0","LicenseRef-BSD"
"msgspec","0.20.0","BSD-3-Clause"
