predictor1,predictor2,outcome
61,28,B
53.3,28.4,A
62.8,24.3,B
73.3,27.9,B
52.2,28.2,A
52.2,24.1,B
74,34.5,B
64.2,28.9,A
49.4,22.2,A
61.5,29.6,B
49.4,23.1,A
49.4,30.1,B
57.9,31.6,B
32,23.7,A
34.3,30.9,B
48.3,28.7,A
42.8,30.3,A
58.8,34.6,B
44.1,26,A
38.1,24,A
72.6,23.4,A
52.3,23.7,A
55.8,26.7,B
37.9,28.4,B
48.5,28.1,B
56.3,30.3,A
41.2,27.1,A
59.5,32.8,B
47.8,25.9,A
51.5,37.9,B
47.8,29.5,A
77.2,23.6,B
54.8,22.7,A
42.3,28.9,A
64.9,26.1,A
40.3,29.9,A
57.5,28.9,B
31.5,26.7,A
39.1,23.6,A
57.4,20.9,A
63.9,25.2,A
57.1,30.4,B
53.6,27.9,A
51.4,22,A
37.3,27.7,A
46.4,28.5,A
49.5,23.5,A
67.7,27.6,A
59.1,27.2,A
33.8,22.4,A
58.9,28.4,B
50.4,29.2,B
46.9,31.3,A
62.3,31.2,A
67.4,21.5,B
66.2,23.2,A
44.9,29.1,A
51.3,29.1,A
59,29.1,B
66.7,42,B
49.2,29.3,A
52.8,31.5,B
41.7,30.8,A
40.6,29.6,A
64.8,25.7,A
71.3,30,B
54.1,23.9,A
67,26.1,B
59.3,25.1,A
47.3,27.3,B
59.3,36.3,B
73.5,19.5,A
54.6,29.7,A
73.8,20.5,A
25,25.1,A
64.9,31.4,A
56,27.3,A
51.4,22.7,B
56.1,24.1,B
31.1,29.7,A
52.4,24.1,A
59.3,27.9,A
72.7,27.2,A
48.8,24.4,A
45.3,35.6,A
49,29.5,B
66,18.9,A
58.9,27.7,A
48.6,24.4,B
61.2,30.4,B
56.2,23.8,A
66.6,26.5,B
46.6,29,A
51.1,30.5,B
50.3,22.2,A
37.4,25.7,A
58.6,25.1,A
58.1,24.4,A
55.1,34.1,B
52.2,28.6,A
38,22,A
50,30.7,B
50.9,35.5,B
45.4,31.1,A
53.1,20.9,A
59.8,25.1,B
77.6,32.1,A
57.1,24.2,B
58.1,28.8,A
54.1,30.1,B
32,23.3,A
54.7,26.8,A
55.7,18,A
84.6,22.9,B
52.7,26,A
58.6,22,A
54.6,33.5,B
41,21.3,A
68.7,25.2,A
64,27.5,A
64.5,32.8,B
44.1,21.3,A
71.8,31.7,A
38.2,27,A
62,23.1,A
81.3,28.8,B
43.1,27.8,A
48.2,24.6,A
56.2,27.3,A
49,25.5,A
36.4,27.5,A
55.8,29.6,A
42.3,33.3,B
60.7,22,A
44,35.5,B
73.6,19.2,A
45.6,26.4,A
51.1,29.4,A
64.8,28.1,B
40.2,24.5,A
57.7,26.2,A
70.7,25,A
35.7,24.6,A
57.2,30.4,B
58.1,28.4,B
64.4,24.2,A
40.2,30.6,A
39.2,28.2,A
61.3,30.3,A
58.6,29.5,A
