predictor1,predictor2,outcome
208,115,C
243,120,A
175,143,C
228,141,C
191,130,B
182,132,C
206,153,C
174,119,A
191,140,A
168,126,C
279,126,B
211,150,C
186,145,C
217,145,A
206,153,C
202,130,B
231,142,B
237,124,C
191,136,B
190,128,A
200,132,A
130,141,B
157,115,C
258,168,C
268,112,C
201,108,B
230,151,A
221,144,C
300,141,B
249,141,C
206,130,A
177,114,C
154,131,A
217,118,A
184,148,B
160,127,A
187,115,C
172,124,A
269,137,A
241,120,A
210,115,B
262,134,C
213,134,B
180,121,A
263,122,A
229,134,B
174,104,A
203,105,B
179,117,B
162,126,A
242,136,C
277,157,C
161,145,B
230,127,B
187,130,C
193,112,B
189,130,B
180,125,B
212,136,C
181,115,C
219,139,B
208,158,C
202,128,B
178,137,A
190,142,B
236,123,C
228,134,B
176,130,C
213,132,A
236,116,C
152,130,C
229,139,A
187,156,B
230,147,B
183,169,A
147,116,B
153,146,A
212,133,C
219,169,C
178,115,B
232,115,B
152,119,A
208,92,B
168,121,A
187,116,A
212,133,C
180,136,A
197,164,B
245,147,C
190,120,C
239,114,A
170,139,C
229,106,A
260,163,C
130,151,B
182,122,A
230,99,B
203,154,A
223,128,C
189,152,B
213,101,A
205,119,C
251,130,C
219,131,A
222,122,A
196,141,C
193,111,B
195,127,C
224,132,A
195,139,C
220,143,A
283,110,B
240,102,A
199,153,C
252,136,B
196,117,B
139,158,C
175,132,A
145,151,B
198,131,B
211,167,C
269,162,A
221,126,B
202,147,B
239,142,B
133,155,C
218,113,A
237,142,B
158,149,B
250,98,A
222,109,A
195,93,A
232,125,C
289,143,A
216,157,C
219,131,B
194,159,B
180,105,B
239,99,C
180,129,B
213,137,A
193,129,A
227,93,A
222,128,C
246,107,C
192,142,A
201,137,B
176,113,A
194,121,B
223,111,A
