y,x1,x2,x3
61,28,115,208
53.3,28.4,120,243
62.8,24.3,143,175
73.3,27.9,141,228
52.2,28.2,130,191
52.2,24.1,132,182
74,34.5,153,206
64.2,28.9,119,174
49.4,22.2,140,191
61.5,29.6,126,168
49.4,23.1,126,279
49.4,30.1,150,211
57.9,31.6,145,186
32,23.7,145,217
34.3,30.9,153,206
48.3,28.7,130,202
42.8,30.3,142,231
58.8,34.6,124,237
44.1,26,136,191
38.1,24,128,190
72.6,23.4,132,200
52.3,23.7,141,130
55.8,26.7,115,157
37.9,28.4,168,258
48.5,28.1,112,268
56.3,30.3,108,201
41.2,27.1,151,230
59.5,32.8,144,221
47.8,25.9,141,300
51.5,37.9,141,249
47.8,29.5,130,206
77.2,23.6,114,177
54.8,22.7,131,154
42.3,28.9,118,217
64.9,26.1,148,184
40.3,29.9,127,160
57.5,28.9,115,187
31.5,26.7,124,172
39.1,23.6,137,269
57.4,20.9,120,241
63.9,25.2,115,210
57.1,30.4,134,262
53.6,27.9,134,213
51.4,22,121,180
37.3,27.7,122,263
46.4,28.5,134,229
49.5,23.5,104,174
67.7,27.6,105,203
59.1,27.2,117,179
33.8,22.4,126,162
58.9,28.4,136,242
50.4,29.2,157,277
46.9,31.3,145,161
62.3,31.2,127,230
67.4,21.5,130,187
66.2,23.2,112,193
44.9,29.1,130,189
51.3,29.1,125,180
59,29.1,136,212
66.7,42,115,181
49.2,29.3,139,219
52.8,31.5,158,208
41.7,30.8,128,202
40.6,29.6,137,178
64.8,25.7,142,190
71.3,30,123,236
54.1,23.9,134,228
67,26.1,130,176
59.3,25.1,132,213
47.3,27.3,116,236
59.3,36.3,130,152
73.5,19.5,139,229
54.6,29.7,156,187
73.8,20.5,147,230
25,25.1,169,183
64.9,31.4,116,147
56,27.3,146,153
51.4,22.7,133,212
56.1,24.1,169,219
31.1,29.7,115,178
52.4,24.1,115,232
59.3,27.9,119,152
72.7,27.2,92,208
48.8,24.4,121,168
45.3,35.6,116,187
49,29.5,133,212
66,18.9,136,180
58.9,27.7,164,197
48.6,24.4,147,245
61.2,30.4,120,190
56.2,23.8,114,239
66.6,26.5,139,170
46.6,29,106,229
51.1,30.5,163,260
50.3,22.2,151,130
37.4,25.7,122,182
58.6,25.1,99,230
58.1,24.4,154,203
55.1,34.1,128,223
52.2,28.6,152,189
38,22,101,213
50,30.7,119,205
50.9,35.5,130,251
45.4,31.1,131,219
53.1,20.9,122,222
59.8,25.1,141,196
77.6,32.1,111,193
57.1,24.2,127,195
58.1,28.8,132,224
54.1,30.1,139,195
32,23.3,143,220
54.7,26.8,110,283
55.7,18,102,240
84.6,22.9,153,199
52.7,26,136,252
58.6,22,117,196
54.6,33.5,158,139
41,21.3,132,175
68.7,25.2,151,145
64,27.5,131,198
64.5,32.8,167,211
44.1,21.3,162,269
71.8,31.7,126,221
38.2,27,147,202
62,23.1,142,239
81.3,28.8,155,133
43.1,27.8,113,218
48.2,24.6,142,237
56.2,27.3,149,158
49,25.5,98,250
36.4,27.5,109,222
55.8,29.6,93,195
42.3,33.3,125,232
60.7,22,143,289
44,35.5,157,216
73.6,19.2,131,219
45.6,26.4,159,194
51.1,29.4,105,180
64.8,28.1,99,239
40.2,24.5,129,180
57.7,26.2,137,213
70.7,25,129,193
35.7,24.6,93,227
57.2,30.4,128,222
58.1,28.4,107,246
64.4,24.2,142,192
40.2,30.6,137,201
39.2,28.2,113,176
61.3,30.3,121,194
58.6,29.5,111,223
