sample_id,CellLine,Drug,TimePoint,RIN_score
HE_DM_6_1,HeLa,DMSO,6h,8.12
HE_DM_6_2,HeLa,DMSO,6h,9.85
HE_DM_24_1,HeLa,DMSO,24h,9.2
HE_DM_24_2,HeLa,DMSO,24h,8.8
HE_DX_6_1,HeLa,Doxorubicin,6h,7.47
HE_DX_6_2,HeLa,Doxorubicin,6h,7.47
HE_DX_24_1,HeLa,Doxorubicin,24h,7.17
HE_DX_24_2,HeLa,Doxorubicin,24h,9.6
HE_CP_6_1,HeLa,Cisplatin,6h,8.8
HE_CP_6_2,HeLa,Cisplatin,6h,9.12
HE_CP_24_1,HeLa,Cisplatin,24h,7.06
HE_CP_24_2,HeLa,Cisplatin,24h,9.91
MC_DM_6_1,MCF7,DMSO,6h,9.5
MC_DM_6_2,MCF7,DMSO,6h,7.64
MC_DM_24_1,MCF7,DMSO,24h,7.55
MC_DM_24_2,MCF7,DMSO,24h,7.55
MC_DX_6_1,MCF7,Doxorubicin,6h,7.91
MC_DX_6_2,MCF7,Doxorubicin,6h,8.57
MC_DX_24_1,MCF7,Doxorubicin,24h,8.3
MC_DX_24_2,MCF7,Doxorubicin,24h,7.87
MC_CP_6_1,MCF7,Cisplatin,6h,8.84
MC_CP_6_2,MCF7,Cisplatin,6h,7.42
MC_CP_24_1,MCF7,Cisplatin,24h,7.88
MC_CP_24_2,MCF7,Cisplatin,24h,8.1
A5_DM_6_1,A549,DMSO,6h,8.37
A5_DM_6_2,A549,DMSO,6h,9.36
A5_DM_24_1,A549,DMSO,24h,7.6
A5_DM_24_2,A549,DMSO,24h,8.54
A5_DX_6_1,A549,Doxorubicin,6h,8.78
A5_DX_6_2,A549,Doxorubicin,6h,7.14
A5_DX_24_1,A549,Doxorubicin,24h,8.82
A5_DX_24_2,A549,Doxorubicin,24h,7.51
A5_CP_6_1,A549,Cisplatin,6h,7.2
A5_CP_6_2,A549,Cisplatin,6h,9.85
A5_CP_24_1,A549,Cisplatin,24h,9.9
A5_CP_24_2,A549,Cisplatin,24h,9.43
